roll_number,semester,attendance_percentage
21CS101,1,88
21CS101,2,90
21CS101,3,92
21CS101,4,91
21CS101,5,93

21CS102,1,75
21CS102,2,78
21CS102,3,80
21CS102,4,77
21CS102,5,79

21CS103,1,65
21CS103,2,68
21CS103,3,70
21CS103,4,72
21CS103,5,74

21CS104,1,85
21CS104,2,87
21CS104,3,89
21CS104,4,90
21CS104,5,91

21CS105,1,92
21CS105,2,93
21CS105,3,94
21CS105,4,95
21CS105,5,96

21CS106,1,92
21CS106,2,93
21CS106,3,94
21CS106,4,95
21CS106,5,96

21CS107,1,75
21CS107,2,78
21CS107,3,80
21CS107,4,77
21CS107,5,79

21CS108,1,88
21CS108,2,90
21CS108,3,92
21CS108,4,91
21CS108,5,93

21CS109,1,60
21CS109,2,58
21CS109,3,55
21CS109,4,57
21CS109,5,54

21CS110,1,65
21CS110,2,63
21CS110,3,60
21CS110,4,62
21CS110,5,61
