roll_number,subject_id,semester,internal_1,internal_2,semester_marks

21CS101,MATH101,1,18,17,85
21CS101,PHY101,1,17,16,82
21CS101,ENG101,1,19,18,88

21CS101,DS201,2,18,18,87
21CS101,OOP201,2,17,17,84
21CS101,COA201,2,19,19,90


21CS102,MATH101,1,15,14,70
21CS102,PHY101,1,14,13,68
21CS102,ENG101,1,16,15,72

21CS102,DS201,2,15,16,74
21CS102,OOP201,2,14,15,72
21CS102,COA201,2,16,16,76


21CS103,MATH101,1,12,13,60
21CS103,PHY101,1,11,12,58
21CS103,ENG101,1,13,14,62

21CS103,DS201,2,12,13,63
21CS103,OOP201,2,11,12,60
21CS103,COA201,2,13,13,65


21CS104,MATH101,1,17,18,84
21CS104,PHY101,1,16,17,82
21CS104,ENG101,1,18,19,88

21CS104,DS201,2,17,18,85
21CS104,OOP201,2,16,17,83
21CS104,COA201,2,18,18,88


21CS105,MATH101,1,19,19,92
21CS105,PHY101,1,18,18,90
21CS105,ENG101,1,19,19,94

21CS105,DS201,2,19,19,93
21CS105,OOP201,2,18,19,91
21CS105,COA201,2,20,20,96


21CS106,MATH101,1,10,11,50
21CS106,PHY101,1,9,10,48
21CS106,ENG101,1,11,12,52

21CS106,DS201,2,10,11,53
21CS106,OOP201,2,9,10,50
21CS106,COA201,2,11,12,55


21CS107,MATH101,1,14,13,65
21CS107,PHY101,1,13,12,63
21CS107,ENG101,1,15,14,67

21CS107,DS201,2,14,15,68
21CS107,OOP201,2,13,14,65
21CS107,COA201,2,15,15,70


21CS108,MATH101,1,18,18,86
21CS108,PHY101,1,17,17,84
21CS108,ENG101,1,19,18,89

21CS108,DS201,2,18,19,88
21CS108,OOP201,2,17,18,86
21CS108,COA201,2,19,19,91


21CS109,MATH101,1,10,11,52
21CS109,PHY101,1,9,10,50
21CS109,ENG101,1,11,12,54

21CS109,DS201,2,10,11,55
21CS109,OOP201,2,9,10,52
21CS109,COA201,2,11,12,58


21CS110,MATH101,1,12,11,55
21CS110,PHY101,1,11,10,53
21CS110,ENG101,1,12,12,56

21CS110,DS201,2,12,13,58
21CS110,OOP201,2,11,12,55
21CS110,COA201,2,13,13,60
